,Compound Score,Date,Negative Score,Neutral Score,Positive Score,Source,Text,Tweets Ago
29,0.5411,Fri Jan 19 14:03:07 +0000 2018,0.0,0.741,0.259,@BBC,London has been lit up for the Lumiere festival! 💡 💖 🌟 https://t.co/UtQvM8axPg https://t.co/ycXU6T9HFh,29
30,0.0,Fri Jan 19 13:30:09 +0000 2018,0.0,1.0,0.0,@BBC,"Do you see yourself the way others see you? 👀

What happens in your head may have more of an effect on what you see… https://t.co/YZcgOt6FWm",30
31,0.3818,Fri Jan 19 13:00:10 +0000 2018,0.0,0.852,0.148,@BBC,🤖💿 The album that could change the way we think about AI and creativity. https://t.co/TkMPr4hCh4 https://t.co/wayYAqyIX5,31
32,0.0,Fri Jan 19 12:30:04 +0000 2018,0.0,1.0,0.0,@BBC,PSA: Valentine's Day is only a few weeks away! ❤️ https://t.co/oSFr2ZLBPw,32
33,0.0,Fri Jan 19 12:00:10 +0000 2018,0.0,1.0,0.0,@BBC,What if the whole world used the same writing system? 📝 https://t.co/bV3XDLi6eI https://t.co/eqm1sUPit1,33
34,0.0,Fri Jan 19 11:03:03 +0000 2018,0.0,1.0,0.0,@BBC,"The most moreish snack ever, these popcorn balls are squidged together with marshmallow and sprinkled with coffee.… https://t.co/MMA2YNq9u7",34
35,0.0,Fri Jan 19 10:42:03 +0000 2018,0.0,1.0,0.0,@BBC,"🎶 ✨ @BBCR1's @AdeleRoberts tracks the rise of K-Pop and meets @BTS_twt, the biggest band in the scene. 

Watch on… https://t.co/REgXX05cyB",35
36,0.0,Fri Jan 19 10:26:34 +0000 2018,0.0,1.0,0.0,@BBC,"RT @BBCBreakfast: Oh, hello there! 🐧
Pics: @AusAntarctic https://t.co/oIUadMixym",36
37,0.5574,Fri Jan 19 10:25:53 +0000 2018,0.0,0.82,0.18,@BBC,"RT @BBCR1: What's it like working with @BTS_twt? @AdeleRoberts meets Mr. Son, the choreographer who has helped create some of their most in…",37
38,0.1027,Fri Jan 19 10:25:32 +0000 2018,0.071,0.845,0.084,@BBC,"RT @BBCEarth: The Pallas’ cat has ears low down on its head and can flatten their bodies to the ground to look like rocks while hunting
#Bi…",38
